source_url,job_title,state,state_abbr,annual_salary_usd,monthly_pay_usd,weekly_pay_usd,hourly_wage_usd,rank
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,Washington,WA,93598,7799,1799,45.0,1
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,District of Columbia,DC,93386,7782,1795,44.9,2
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,New York,NY,90411,7534,1738,43.47,3
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,Massachusetts,MA,90253,7521,1735,43.39,4
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,Alaska,AK,88999,7416,1711,42.79,5
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,Vermont,VT,87867,7322,1689,42.24,6
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,North Dakota,ND,87440,7286,1681,42.04,7
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,Oregon,OR,87374,7281,1680,42.01,8
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,Colorado,CO,86898,7241,1671,41.78,9
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,Hawaii,HI,85860,7155,1651,41.28,10
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,Nevada,NV,84153,7012,1618,40.46,11
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,New Jersey,NJ,83899,6991,1613,40.34,12
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,Wisconsin,WI,83413,6951,1604,40.1,13
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,Pennsylvania,PA,82839,6903,1593,39.83,14
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Data-Analyst-Salary-by-State,Data Analyst,Delaware,DE,82711,6892,1590,39.76,15
