Role,State,Annual Salary (USD),Monthly Pay (USD),Weekly Pay (USD),Hourly Wage (USD)
Data Editor,Washington,67739,5644,1302,32.57
Data Editor,District of Columbia,67586,5632,1299,32.49
Data Editor,New York,65433,5452,1258,31.46
Data Editor,Massachusetts,65319,5443,1256,31.4
Data Editor,Alaska,64411,5367,1238,30.97
Data Editor,Vermont,63592,5299,1222,30.57
Data Editor,North Dakota,63283,5273,1216,30.42
Data Editor,Oregon,63235,5269,1216,30.4
Data Editor,Colorado,62890,5240,1209,30.24
Data Editor,Hawaii,62139,5178,1194,29.87
Data Editor,Nevada,60904,5075,1171,29.28
Data Editor,New Jersey,60720,5060,1167,29.19
Data Editor,Wisconsin,60368,5030,1160,29.02
Data Editor,Pennsylvania,59952,4996,1152,28.82
Data Editor,Delaware,59860,4988,1151,28.78
Data Editor,South Dakota,59809,4984,1150,28.75
Data Editor,Virginia,59296,4941,1140,28.51
Data Editor,California,59026,4918,1135,28.38
Data Editor,Minnesota,58577,4881,1126,28.16
Data Editor,Rhode Island,58571,4880,1126,28.16
Data Editor,New Hampshire,58165,4847,1118,27.96
Data Editor,Maryland,58047,4837,1116,27.91
Data Editor,New Mexico,57959,4829,1114,27.86
Data Editor,Illinois,57956,4829,1114,27.86
Data Editor,Maine,57907,4825,1113,27.84
Data Editor,Wyoming,57490,4790,1105,27.64
Data Editor,Nebraska,57025,4752,1096,27.42
Data Editor,Indiana,56912,4742,1094,27.36
Data Editor,Connecticut,56895,4741,1094,27.35
Data Editor,Ohio,56860,4738,1093,27.34
Data Editor,Mississippi,56643,4720,1089,27.23
Data Editor,Idaho,56274,4689,1082,27.05
Data Editor,Iowa,56176,4681,1080,27.01
Data Editor,Missouri,56101,4675,1078,26.97
Data Editor,Arizona,55735,4644,1071,26.8
Data Editor,Texas,55721,4643,1071,26.79
Data Editor,South Carolina,55500,4625,1067,26.68
Data Editor,Oklahoma,55224,4602,1062,26.55
Data Editor,Montana,54895,4574,1055,26.39
Data Editor,Utah,54448,4537,1047,26.18
Data Editor,North Carolina,54354,4529,1045,26.13
Data Editor,Tennessee,54284,4523,1043,26.1
Data Editor,Alabama,54210,4517,1042,26.06
Data Editor,Kansas,53340,4445,1025,25.64
Data Editor,Michigan,52129,4344,1002,25.06
Data Editor,Kentucky,51946,4328,998,24.97
Data Editor,Louisiana,51144,4262,983,24.59
Data Editor,Georgia,50502,4208,971,24.28
Data Editor,Arkansas,49456,4121,951,23.78
Data Editor,West Virginia,46302,3858,890,22.26
Data Editor,Florida,44695,3724,859,21.49
