state,annual_salary_usd,monthly_pay_usd,weekly_pay_usd,hourly_wage_usd
Washington,148371,12364,2853,71.33
District of Columbia,148034,12336,2846,71.17
New York,143319,11943,2756,68.9
Massachusetts,143069,11922,2751,68.78
Alaska,141080,11756,2713,67.83
Vermont,139287,11607,2678,66.96
North Dakota,138609,11550,2665,66.64
Oregon,138505,11542,2663,66.59
Colorado,137749,11479,2649,66.23
Hawaii,136104,11342,2617,65.43
Nevada,133399,11116,2565,64.13
New Jersey,132996,11083,2557,63.94
Wisconsin,132226,11018,2542,63.57
Pennsylvania,131315,10942,2525,63.13
Delaware,131113,10926,2521,63.04
South Dakota,131001,10916,2519,62.98
Virginia,129877,10823,2497,62.44
California,129285,10773,2486,62.16
Minnesota,128304,10692,2467,61.68
Rhode Island,128290,10690,2467,61.68
New Hampshire,127399,10616,2449,61.25
Maryland,127141,10595,2445,61.13
New Mexico,126949,10579,2441,61.03
Illinois,126943,10578,2441,61.03
Maine,126835,10569,2439,60.98
Wyoming,125921,10493,2421,60.54
Nebraska,124902,10408,2401,60.05
Indiana,124655,10387,2397,59.93
Connecticut,124619,10384,2396,59.91
Ohio,124542,10378,2395,59.88
Mississippi,124067,10338,2385,59.65
Idaho,123258,10271,2370,59.26
Iowa,123044,10253,2366,59.16
Missouri,122879,10239,2363,59.08
Arizona,122078,10173,2347,58.69
Texas,122047,10170,2347,58.68
South Carolina,121563,10130,2337,58.44
Oklahoma,120957,10079,2326,58.15
Montana,120238,10019,2312,57.81
Utah,119259,9938,2293,57.34
North Carolina,119054,9921,2289,57.24
Tennessee,118898,9908,2286,57.16
Alabama,118737,9894,2283,57.09
Kansas,116833,9736,2246,56.17
Michigan,114179,9514,2195,54.89
Kentucky,113778,9481,2188,54.7
Louisiana,112022,9335,2154,53.86
Georgia,110615,9217,2127,53.18
Arkansas,108325,9027,2083,52.08
West Virginia,101417,8451,1950,48.76
Florida,97896,8158,1882,47.07
