source_url,job_title,state,state_abbr,annual_salary_usd,monthly_pay_usd,weekly_pay_usd,hourly_wage_usd,rank
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Washington,WA,165101,13758,3175,79.38,1
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,District of Columbia,DC,164727,13727,3167,79.2,2
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,New York,NY,159480,13290,3066,76.67,3
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Massachusetts,MA,159201,13266,3061,76.54,4
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Alaska,AK,156989,13082,3019,75.48,5
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Vermont,VT,154993,12916,2980,74.52,6
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,North Dakota,ND,154239,12853,2966,74.15,7
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Oregon,OR,154123,12843,2963,74.1,8
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Colorado,CO,153282,12773,2947,73.69,9
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Hawaii,HI,151452,12621,2912,72.81,10
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Nevada,NV,148441,12370,2854,71.37,11
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,New Jersey,NJ,147993,12332,2846,71.15,12
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Wisconsin,WI,147136,12261,2829,70.74,13
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Pennsylvania,PA,146122,12176,2810,70.25,14
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Delaware,DE,145898,12158,2805,70.14,15
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,South Dakota,SD,145772,12147,2803,70.08,16
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Virginia,VA,144522,12043,2779,69.48,17
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,California,CA,143863,11988,2766,69.16,18
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Minnesota,MN,142771,11897,2745,68.64,19
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Rhode Island,RI,142757,11896,2745,68.63,20
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,New Hampshire,NH,141765,11813,2726,68.16,21
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Maryland,MD,141478,11789,2720,68.02,22
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,New Mexico,NM,141264,11772,2716,67.92,23
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Illinois,IL,141257,11771,2716,67.91,24
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Maine,ME,141137,11761,2714,67.85,25
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Wyoming,WY,140120,11676,2694,67.37,26
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Nebraska,NE,138987,11582,2672,66.82,27
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Indiana,IN,138712,11559,2667,66.69,28
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Connecticut,CT,138671,11555,2666,66.67,29
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Ohio,OH,138585,11548,2665,66.63,30
