year,ct2010,bbl,year_built,BldgClass,NumFloors,canopy_change_class,UnitsRes,ground_elevation,height_roof,weather_normalized_site_eui,tree_count,commercial_floor_flag,year_built_bracket,log_eui,sqrt_eui,log_tree_count,sqrt_tree_count
2010,1900,2023090001,1920,D7,5.0,Gain,75.0,9.0,92.68,40.7,12,1,Pre-1950,3.730501128804756,6.3796551630946325,2.5649493574615367,3.4641016151377544
2010,2201,1003450048,1983,D3,6.0,No Change,172.0,21.0,55.77,67.7,31,0,Post-1980,4.229749199228304,8.228000972289685,3.4657359027997265,5.5677643628300215
2010,2500,2022810021,1972,D1,6.0,No Change,107.0,44.0,62.05,78.7,10,0,1950-1980,4.378269585796169,8.87130204648675,2.3978952727983707,3.1622776601683795
2010,3001,1004110045,1900,D1,6.0,Gain,52.0,33.0,55.43,25.0,2,0,Pre-1950,3.258096538021482,5.0,1.0986122886681098,1.4142135623730951
2010,3100,2025820034,1925,C7,6.0,Loss,77.0,34.0,63.29286312,110.0,17,1,Pre-1950,4.709530201312334,10.488088481701515,2.8903717578961645,4.123105625617661
2010,3500,2025770038,1928,D7,6.0,No Change,65.0,36.0,64.96,93.2,13,1,Pre-1950,4.545420181582317,9.654014708917737,2.6390573296152584,3.605551275463989
2010,3800,1004620035,1996,D1,6.0,No Change,86.0,36.0,68.5,71.3,16,0,Post-1980,4.280824129164719,8.44393273303382,2.833213344056216,4.0
2010,3900,2022840062,1904,C7,5.0,No Change,59.0,18.0,56.93,132.9,28,1,Pre-1950,4.897093252697127,11.52822622956368,3.367295829986474,5.291502622129181
2010,4300,1004950011,1926,C7,6.0,Gain,93.0,38.0,66.47,101.9,5,1,Pre-1950,4.633757642840004,10.094552986635911,1.791759469228055,2.23606797749979
2010,4900,1005000005,1890,D0,6.0,No Change,29.0,21.0,74.0,61.0,1,0,Pre-1950,4.127134385045092,7.810249675906654,0.6931471805599453,1.0
2010,5002,2037380001,1939,D1,6.0,No Change,60.0,17.0,67.75,90.1,27,0,Pre-1950,4.511957804265912,9.492101980067428,3.332204510175204,5.196152422706632
2010,5002,2037380010,1928,D1,6.0,No Change,60.0,16.0,80.28,75.2,15,0,Pre-1950,4.333361462692601,8.67179335547152,2.772588722239781,3.872983346207417
2010,5002,2037380033,1928,D1,6.0,No Change,48.0,20.0,65.80271412,66.5,12,0,Pre-1950,4.212127597878484,8.154753215150045,2.5649493574615367,3.4641016151377544
2010,5002,2037390001,1928,C7,5.0,No Change,60.0,26.0,60.55,87.8,18,1,Pre-1950,4.486386649998124,9.370165420097983,2.9444389791664403,4.242640687119285
2010,5002,2037410005,1929,D7,6.0,Gain,67.0,38.0,66.07,91.4,15,1,Pre-1950,4.526126978647638,9.560334722173696,2.772588722239781,3.872983346207417
2010,5400,2037760050,1928,D1,6.0,Gain,70.0,34.0,62.87,17.0,12,0,Pre-1950,2.8903717578961645,4.123105625617661,2.5649493574615367,3.4641016151377544
