"","PlayerName","State","TtlPts_1","pre_rating","opponentavg"
"1","GARY HUA","ON","6.0"," 1794  ",1605.28571428571
"2","ANVIT RAO","MI","5.0"," 1365  ",1554.14285714286
"3","CAMERON WILLIAM MC LEMAN","MI","4.5"," 1712  ",1467.57142857143
"4","KENNETH J TACK","MI","4.5"," 1663  ",1506.16666666667
"5","TORRANCE HENRY JR","MI","4.5"," 1666  ",1497.85714285714
"6","BRADLEY SHAW","MI","4.5"," 1610  ",1515
"7","ZACHARY JAMES HOUGHTON","MI","4.5"," 1220",1483.85714285714
"8","MIKE NIKITIN","MI","4.0"," 1604  ",1385.8
"9","RONALD GRZEGORCZYK","MI","4.0"," 1629  ",1498.57142857143
"10","DAVID SUNDEEN","MI","4.0"," 1600  ",1480
"11","DIPANKAR ROY","MI","4.0"," 1564  ",1426.28571428571
"12","DAKSHESH DARURI","MI","6.0"," 1553  ",1469.28571428571
"13","JASON ZHENG","MI","4.0"," 1595  ",1410.85714285714
"14","DINH DANG BUI","ON","4.0"," 1563",1470.42857142857
"15","EUGENE L MCCLURE","MI","4.0"," 1555  ",1300.33333333333
"16","ALAN BUI","ON","4.0"," 1363  ",1213.85714285714
"17","MICHAEL R ALDRICH","MI","4.0"," 1229  ",1357
"18","LOREN SCHWIEBERT","MI","3.5"," 1745  ",1363.28571428571
"19","MAX ZHU","ON","3.5"," 1579  ",1506.85714285714
"20","GAURAV GIDWANI","MI","3.5"," 1552  ",1221.66666666667
"21","SOFIA ADINA STANESCU-BELLU","MI","3.5"," 1507  ",1522.14285714286
"22","CHIEDOZIE OKORIE","MI","3.5"," 1602",1313.5
"23","ADITYA BAJAJ","MI","6.0"," 1384  ",1563.57142857143
"24","GEORGE AVERY JONES","ON","3.5"," 1522  ",1144.14285714286
"25","RISHI SHETTY","MI","3.5"," 1494  ",1259.85714285714
"26","JOSHUA PHILIP MATHEWS","ON","3.5"," 1441  ",1378.71428571429
"27","JADE GE","MI","3.5"," 1449  ",1276.85714285714
"28","MICHAEL JEFFERY THOMAS","MI","3.5"," 1399  ",1375.28571428571
"29","JOSHUA DAVID LEE","MI","3.5"," 1438  ",1149.71428571429
"30","SIDDHARTH JHA","MI","3.5"," 1355  ",1388.16666666667
"31","AMIYATOSH PWNANANDAM","MI","3.5","  980",1384.8
"32","BRIAN LIU","MI","3.0"," 1423  ",1539.16666666667
"33","JOEL R HENDON","MI","3.0"," 1436",1429.57142857143
"34","PATRICK H SCHILLING","MI","5.5"," 1716  ",1573.57142857143
"35","FOREST ZHANG","MI","3.0"," 1348  ",1390.57142857143
"36","KYLE WILLIAM MURPHY","MI","3.0"," 1403",1248.5
"37","JARED GE","MI","3.0"," 1332  ",1149.85714285714
"38","ROBERT GLEN VASEY","MI","3.0"," 1283  ",1106.57142857143
"39","JUSTIN D SCHILLING","MI","3.0"," 1199  ",1327
"40","DEREK YAN","MI","3.0"," 1242  ",1152
"41","JACOB ALEXANDER LAVALLEY","MI","3.0","  377",1357.71428571429
"42","ERIC WRIGHT","MI","2.5"," 1362  ",1392
"43","DANIEL KHAIN","MI","2.5"," 1382  ",1355.8
"44","MICHAEL J MARTIN","MI","2.5"," 1291",1285.8
"45","HANSHI ZUO","MI","5.5"," 1655  ",1500.85714285714
"46","SHIVAM JHA","MI","2.5"," 1056  ",1296
"47","TEJAS AYYAGARI","MI","2.5"," 1011  ",1356.14285714286
"48","ETHAN GUO","MI","2.5","  935  ",1494.57142857143
"49","JOSE C YBARRA","MI","2.0"," 1393  ",1345.33333333333
"50","LARRY HODGE","MI","2.0"," 1270  ",1206.16666666667
"51","ALEX KONG","MI","2.0"," 1186  ",1406
"52","MARISA RICCI","MI","2.0"," 1153  ",1414.4
"53","MICHAEL LU","MI","2.0"," 1092  ",1363
"54","VIRAJ MOHILE","MI","2.0","  917  ",1391
"55","SEAN M MC CORMICK","MI","2.0","  853  ",1319
"56","HANSEN SONG","OH","5.0"," 1686  ",1518.71428571429
"57","JULIA SHEN","MI","1.5","  967  ",1330.2
"58","JEZZEL FARKAS","ON","1.5","  955",1327.28571428571
"59","ASHWIN BALAJI","MI","1.0"," 1530  ",1186
"60","THOMAS JOSEPH HOSMER","MI","1.0"," 1175  ",1350.2
"61","BEN LI","MI","1.0"," 1163  ",1263
"62","GARY DEE SWATHELL","MI","5.0"," 1649  ",1372.14285714286
"63","EZEKIEL HOUGHTON","MI","5.0"," 1641",1468.42857142857
"64","STEFANO LEE","ON","5.0"," 1411  ",1523.14285714286
