,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total ,,,,,,,
Model Type Information,,,,,,,,,Charge Depleting Information (Electricity Operation),,,,,,,,,,,,,,,,,,,,,,,,,,,Vehicle Information,,,,,,,,Ann Fuel Cost,,Fuel 2 Information (Not Aplicable to Electric Vehicles),,,,,,,,,,,,,,,,,,,General Information,,,,,,,,, ,"General Electric Vehicle Information - Engine, Motor/Generator, Battery Information, etc.                                                                                                                                                                                                                                                                                                                               General Electric Vehicle Information - Engine, Motor/Generator, Battery Information, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FE & GHG Ratings,,,#1 Smog Rating Test Group,,,,#2 Smog Rating Test Group,,,,#3 Smog Rating Test Group,,,,#4 Smog Rating Test Group,,,,You Save/You Spend,,Gasoline CO2,,,PHEV,Battery Charge Time,,Range,PHEV Composite  MPG,,,Electric Driving Range,,,
Model Yr ,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel,Guzzler? ,Air Aspir Method,Air Aspiration Method Desc,Trans,Trans Desc,"Trans, Other",# Gears,Trans Lockup,Trans Creeper Gear,Drive Sys,Drive Desc,Max Ethanol % - Gasoline,Max Biodiesel %,Range1 - Model Type Driving Range - Conventional Fuel,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,Gas Guzzler Exempt (Where Truck = 1975 NHTSA truck definition),Gas Guzzler Exempt Desc (Where Truck = 1975 NHTSA truck definition),2Dr Pass Vol,2Dr Lugg Vol,4Dr Pass Vol,4Dr Lugg Vol,Htchbk Pass Vol,Htchbk Lugg Vol,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,City2 FE (Guide) - Alternative Fuel,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,City2 Unadj FE - Alternative Fuel,Hwy2 Unadj FE - Alternative Fuel,Comb2 Unadj FE - Alternative Fuel,City2 Unrd Adj FE - Alternative Fuel,Hwy2 Unrd Adj FE - Alternative Fuel,Cmb2 Unrd Adj FE - Alternative Fuel, Range2 - Alt Fuel Model Typ Driving Range - Alternative Fuel, Fuel2 Usage - Alternative Fuel, Fuel2 Usage Desc - Alternative Fuel,Fuel2 Unit - Alternative Fuel,Fuel2 Unit Desc - Alternative Fuel,Fuel2 Annual Fuel Cost - Alternative Fuel,City CO2 Rounded Adjusted - Fuel 2,Hwy CO2 Rounded Adjusted - Fuel 2,Comb CO2 Rounded Adjusted - Fuel 2,Fuel2 EPA Calculated Annual Fuel Cost - Alternative Fuel,Descriptor - Model Type (40 Char or less),Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date (gold fill means release date is after 8/2/2012),EPA FE Label Dataset ID, ,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Energy Storage Device Desc,"Energy Storage Device,If Other",# Batteries,Battery Type Desc,"Battery Type, If Other",Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Comments,# Capacitors,Regen Braking Type Desc,"Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,Fuel Cell Desc,Usable H2 Fill Capacity (kg),Fuel Cell Onboard H2 Capacity (kg),HEV-EV Comments,# Drive Motor Gen,Motor Gen Type Desc,"Motor Gen Type, If Other",Rated Motor Gen Power (kW),Fuel Metering Type 1 Desc,Fuel Metering Type 2 Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System) Code,Stop/Start System (Engine Management System)  Description,Model Type Desc (MFR entered),Charge Depleting Calc Appr Code (PHEVs only),Charge Depleting Calc Appr Desc  (PHEVs only),Charge Sustaining Calc Appr Code  (PHEVs only),Charge Sustaining Calc Appr Desc  (PHEVs only),EPA Calculated Annual Fuel Cost,EPA Calculated Gas Guzzler MPG,MFR Calculated Gas Guzzler MPG ,EPA Calculated Gas Guzzler Indicator (Y or N), ,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),GHG 1-10 rating on Ethanol (EPA Determined),#1 Smog Rating Test Group,#1 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 1),#1 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 1),SmartWay1 (EPA-derived SmartWay rating for Test Group 1),#2 Smog Rating Test Group,#2 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 2),#2 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 2),SmartWay2 (EPA-derived SmartWay rating for Test Group 2),#3 Smog Rating Test Group,#3 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 3),#3 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 3),SmartWay3 (EPA-derived SmartWay rating for Test Group 3),#4 Smog Rating Test Group,#4 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 4),#4 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 4),SmartWay4 (EPA-derived SmartWay rating for Test Group 4),$ You Save over 5 years (amount saved in fuel costs over 5 years - on label) ,$ You Spend over 5 years (increased amount spent in fuel costs over 5 years - on label) ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted (as shown on FE Label),CO2-PHEV Composite Rounded Adjusted Combined CO2,240V Charge Time at 240 volts (hours),120V Charge time at 120 Volts (hours),PHEV Total Driving Range (rounded to nearest 10 miles)DISTANCE,City PHEV Composite MPGe,Hwy PHEV Composite MPGe,Comb PHEV Composite MPGe,City Range (miles),Hwy Range (miles),Comb Range as shown on FE Label (miles), 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2024 Acura ZDX AWD,,,,,,,,,,,,,,,,,2024 Acura ZDX AWD,,,,,,,,,,,,,,,,2024 Acura ZDX AWD,,,,,,,,,,,,,,,2024 Acura ZDX AWD,,,,,,,,,,,,,, ,,2024 Acura ZDX AWD,,,,,, ,,,,,,,,,,2024 Acura ZDX AWD,,,,,,,,,,,,,,,,,2024 Acura ZDX AWD,,,,,,,,,,,,,,,,,2024 Acura ZDX AWD,,,,,,,,,,,,,, ,2024 Acura ZDX AWD,,,,,,,,,,,,,,,2024 Acura ZDX AWD,,,,,,,,,
2024,Honda,Acura,ZDX AWD,HNX,722,0.0,,Auto(A1),94,80,87,134.1,114.8,124.6684,93.87,80.36,87.2696,,,,A,Automatic,A1,1,N,N,A,All Wheel Drive,,,304,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,850,850,,,,,,,,,,,,,,,,,,,,,,,32,Standard SUV 2WD,,Electric Vehicle 2-cycle label,3/5/2024,34478,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,297.9,162,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,N,,,,,2,Other,AC PERMANANT MAGNET,155 and 220,,,,,N,Y,,,N,No,ZDX AWD,,,,,,,,,,9,10,,RGMXT00.0024,10,,,,,,,,,,,,,,,5500,,0,0,0,,11,,,,,,325,278,304,
2024,Honda,Acura,ZDX AWD,HNX,722,0.0,,Auto(A1),36,42,39,25.1321,29.3612,27.0352,35.906,41.9425,38.6225,,,,A,Automatic,A1,1,N,N,A,All Wheel Drive,,,304,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,850,850,,,,,,,,,,,,,,,,,,,,,,,32,Standard SUV 2WD,,Electric Vehicle 2-cycle label,3/5/2024,34478,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,297.9,162,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,N,,,,,2,Other,AC PERMANANT MAGNET,155 and 220,,,,,N,Y,,,N,No,ZDX AWD,,,,,,,,,,9,10,,RGMXT00.0024,10,,,,,,,,,,,,,,,5500,,0,0,0,,11,,,,,,325,278,304,
,,,,,,,,,,,,2024 Acura ZDX RWD,,,,,,,,,,,,,,,,,2024 Acura ZDX RWD,,,,,,,,,,,,,,,,2024 Acura ZDX RWD,,,,,,,,,,,,,,,2024 Acura ZDX RWD,,,,,,,,,,,,,, ,,2024 Acura ZDX RWD,,,,,, ,,,,,,,,,,2024 Acura ZDX RWD,,,,,,,,,,,,,,,,,2024 Acura ZDX RWD,,,,,,,,,,,,,,,,,2024 Acura ZDX RWD,,,,,,,,,,,,,, ,2024 Acura ZDX RWD,,,,,,,,,,,,,,,2024 Acura ZDX RWD,,,,,,,,,
2024,Honda,Acura,ZDX RWD,HNX,721,0.0,,Auto(A1),96,83,90,137.5,119.2,128.6146,96.25,83.44,90.0302,,,,A,Automatic,A1,1,N,N,R,"2-Wheel Drive, Rear",,,313,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,850,850,,,,,,,,,,,,,,,,,,,,,,,32,Standard SUV 2WD,,Electric Vehicle 2-cycle label,3/5/2024,34479,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,298,157,Both On-Board and Off-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,Other,AC PERMANANT MAGNET,255,,,,,N,Y,,,N,No,ZDX RWD,,,,,,,,,,9,10,,RGMXT00.0026,10,,,,,,,,,,,,,,,5500,,0,0,0,,11,,,,,,333,289,313,
2024,Honda,Acura,ZDX RWD,HNX,721,0.0,,Auto(A1),35,40,37,24.5114,28.2834,26.2088,35.0182,40.3943,37.4374,,,,A,Automatic,A1,1,N,N,R,"2-Wheel Drive, Rear",,,313,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,850,850,,,,,,,,,,,,,,,,,,,,,,,32,Standard SUV 2WD,,Electric Vehicle 2-cycle label,3/5/2024,34479,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,298,157,Both On-Board and Off-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,Other,AC PERMANANT MAGNET,255,,,,,N,Y,,,N,No,ZDX RWD,,,,,,,,,,9,10,,RGMXT00.0026,10,,,,,,,,,,,,,,,5500,,0,0,0,,11,,,,,,333,289,313,
