,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHEV,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total ,,,,New fields added by D. Good,,,,,,,,,,,,
Model Type Information,,,,,,,,,Charge Sustaining Information  (Gasoline Operation),,,,,,,,,,,,,,,,,,,,,,,,,,,Vehicle Information,,,,,,,,Ann Fuel Cost,,Charge Depleting Information (Electricity Operation),,,,,,,,,,,,,,,,,,,General Information,,,,,,,,, ,"General Hybrid Vehicle Information - Engine, Motor/Generator, Battery Information, etc.                                                                                                                                                                                                                                                                                                                               General Hybrid Vehicle Information - Engine, Motor/Generator, Battery Information, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FE & GHG Ratings,,,#1 Smog Rating Test Group,,,,#2 Smog Rating Test Group,,,,#3 Smog Rating Test Group,,,,#4 Smog Rating Test Group,,,,You Save/You Spend,,Gasoline Adjusted CO2,,,PHEV,Battery Charge Time,,Range,PHEV Composite  MPGe,,,Composite CO2,,,Charge Depleting Driving Range,,,Individual Utility Factors (Rcda MDIUFs),,,PHEV Charge Depleting Fuel Consumption,,,Fuel Tank
Model Yr  (gold fill means release date is after today's date),Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel,Guzzler? ,Air Aspir Method,Air Aspiration Method Desc,Trans,Trans Desc,"Trans, Other",# Gears,Trans Lockup,Trans Creeper Gear,Drive Sys,Drive Desc,Max Ethanol % - Gasoline,Max Biodiesel %,Range1 - Model Type Driving Range - Conventional Fuel,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,Gas Guzzler Exempt (Where Truck = 1975 NHTSA truck definition),Gas Guzzler Exempt Desc (Where Truck = 1975 NHTSA truck definition),2Dr Pass Vol,2Dr Lugg Vol,4Dr Pass Vol,4Dr Lugg Vol,Htchbk Pass Vol,Htchbk Lugg Vol,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,City2 FE (Guide) - Alternative Fuel,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,City2 Unadj FE - Alternative Fuel,Hwy2 Unadj FE - Alternative Fuel,Comb2 Unadj FE - Alternative Fuel,City2 Unrd Adj FE - Alternative Fuel,Hwy2 Unrd Adj FE - Alternative Fuel,Cmb2 Unrd Adj FE - Alternative Fuel, Range2 - Alt Fuel Model Typ Driving Range - Alternative Fuel, Fuel2 Usage - Alternative Fuel, Fuel2 Usage Desc - Alternative Fuel,Fuel2 Unit - Alternative Fuel,Fuel2 Unit Desc - Alternative Fuel,Fuel2 Annual Fuel Cost - Alternative Fuel,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted,Fuel2 EPA Calculated Annual Fuel Cost - Alternative Fuel,Descriptor - Model Type (40 Char or less),Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date (gold fill means release date is after today's date),EPA FE Label Dataset ID, ,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Energy Storage Device Desc,"Energy Storage Device,If Other",# Batteries,Battery Type Desc,"Battery Type, If Other",Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Comments,# Capacitors,Regen Braking Type Desc,"Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,Fuel Cell Desc,Usable H2 Fill Capacity (kg),Fuel Cell Onboard H2 Capacity (kg),HEV-EV Comments,# Drive Motor Gen,Motor Gen Type Desc,"Motor Gen Type, If Other",Rated Motor Gen Power (kW),Fuel Metering Type 1 Desc,Fuel Metering Type 2 Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System) Code,Stop/Start System (Engine Management System)  Description,Model Type Desc (MFR entered),Charge Depleting Calc Appr Code (PHEVs only),Charge Depleting Calc Appr Desc  (PHEVs only),Charge Sustaining Calc Appr Code  (PHEVs only),Charge Sustaining Calc Appr Desc  (PHEVs only),EPA Calculated Annual Fuel Cost,EPA Calculated Gas Guzzler MPG,MFR Calculated Gas Guzzler MPG ,EPA Calculated Gas Guzzler Indicator (Y or N), ,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),GHG 1-10 rating on Ethanol (EPA Determined),#1 Smog Rating Test Group,#1 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 1),#1 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 1),SmartWay1 (EPA-derived SmartWay rating for Test Group 1),#2 Smog Rating Test Group,#2 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 2),#2 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 2),SmartWay2 (EPA-derived SmartWay rating for Test Group 2),#3 Smog Rating Test Group,#3 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 3),#3 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 3),SmartWay3 (EPA-derived SmartWay rating for Test Group 3),#4 Smog Rating Test Group,#4 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 4),#4 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 4),SmartWay4 (EPA-derived SmartWay rating for Test Group 4),$ You Save over 5 years (amount saved in fuel costs over 5 years - on label) ,$ You Spend over 5 years (increased amount spent in fuel costs over 5 years - on label) ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted (as shown on FE Label),CO2-PHEV Composite Rounded Adjusted Combined CO2,240V Charge Time at 240 volts (hours),120V Charge time at 120 Volts (hours),PHEV Total Driving Range (rounded to nearest 10 miles)DISTANCE,City PHEV Composite MPGe,Hwy PHEV Composite MPGe,Comb PHEV Composite MPGe,City CO2-PHEV Composite Rounded Adjusted Combined CO2,Hwy CO2-PHEV Composite Rounded Adjusted Combined CO2,CO2-PHEV Composite Rounded Adjusted Combined CO2,City Range on Electricity (miles),Hwy Range on Electricity (miles),Comb Range on Electricity as shown on FE Label (miles),City Utility Factor (MDIUF),Hwy Utility Factor (MDIUF),Comb Utility Factor (MDIUF),City (gal/100 mi),Hwy (gal/100 mi),Combined (gal/100 mi) as listed on blended PHEV labels,Size (gal)
,,,,,(Not Confidential),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2024 Bentley Flying Spur Hybrid,,,,,,,,,,,,,,,,,2024 Bentley Flying Spur Hybrid,,,,,,,,,,,,,,,,2024 Bentley Flying Spur Hybrid,,,,,,,,,,,,,,,2024 Bentley Flying Spur Hybrid,,,,,,,,,,,,,,,,2024 Bentley Flying Spur Hybrid,,,,,,,,,,,,,,,,2024 Bentley Flying Spur Hybrid,,,,,,,,,,,,,,,,,2024 Bentley Flying Spur Hybrid,,,,,,,,,,,,,,,,,2024 Bentley Flying Spur Hybrid,,,,,,,,,,,,,, ,2024 Bentley Flying Spur Hybrid,,,,,,,,,,,,,,,2024 Bentley Flying Spur Hybrid,,,,,,,,,,,,2024 Bentley Flying Spur Hybrid,,,,,,
2024,Volkswagen Group of,Bentley,Flying Spur Hybrid,VGA,400,2.9,6,Auto(AM-S8),17,22,19,21.5,30.5,24.7921,17.2268,21.9137,19.0614,,TC,Turbocharged,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),,8,Y,N,A,All Wheel Drive,15,,406,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,102,13,,,,,2550,2550,43,50,46,60,70.8,64.4222,43.3334,49.5956,45.9439,21,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,,,,,,SIDI; PHEV; ,2,2,5,Midsize Cars,car,Plug-in Hybrid Label,10/20/2023,33977,,N,N,,,N,N,Applies to DGPF var: 0,N,,N,VarioCam Plus system,N,,Battery(s),,8,Lithium Ion,,374,48,137,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,1,AC Induction,,103,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W30 VW50200 / VW50400,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,25,,,5,7,,RVGAV02.9P7P,5,,,,,,,,,,,,,,,,3000,518,406,468,251,3,,430,24,30,26,284.6,209.8,251,20.18,22.21,21,0.46,0.489,0.473,,,,21.0
2024,"Blended PHEV; tested in default ""Drive-mode” and the normal default ""Hybrid"" mode (not the Hold or EV modes)",,,,,,,,17,22,19,21.5,30.5,24.7921,17.2268,21.9137,19.0614,,TC,Turbocharged,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),,8,Y,N,A,All Wheel Drive,15,,406,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,102,13,,,,,2550,2550,79,68,74,56.1,47.6,52.275,78.656,68.058,73.8869,21,EL,Electricity,MPG,miles per gallon,,,,,,SIDI; PHEV; ,2,2,5,Midsize Cars,car,Plug-in Hybrid Label,10/20/2023,33977,,N,N,,,N,N,Applies to DGPF var: 0,N,,N,VarioCam Plus system,N,,Battery(s),,8,Lithium Ion,,374,48,137,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,1,AC Induction,,103,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W30 VW50200 / VW50400,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,25,,,5,7,,RVGAV02.9P7P,5,,,,,,,,,,,,,,,,3000,0,0,0,251,3,,430,24,30,26,284.6,209.8,251,All Electric Range = 0-21 miles (combined),,,0.46,0.489,0.473,0,0,0,21.0
,,,,,,,,,,,,2024 BMW 330e Sedan,,,,,,,,,,,,,,,,,2024 BMW 330e Sedan,,,,,,,,,,,,,,,,2024 BMW 330e Sedan,,,,,,,,,,,,,,,2024 BMW 330e Sedan,,,,,,,,,,,,,,,,2024 BMW 330e Sedan,,,,,,,,,,,,,,,,2024 BMW 330e Sedan,,,,,,,,,,,,,,,,,2024 BMW 330e Sedan,,,,,,,,,,,,,,,,,2024 BMW 330e Sedan,,,,,,,,,,,,,, ,2024 BMW 330e Sedan,,,,,,,,,,,,,,,2024 BMW 330e Sedan,,,,,,,,,,,,2024 BMW 330e Sedan,,,,,,
2024,BMW,BMW,330e Sedan,BMX,320,2.0,4,Auto(S8),24,32,27,34.8,46,39.082,23.7966,31.9159,26.873,,TC,Turbocharged,SA,Semi-Automatic,,8,N,N,R,"2-Wheel Drive, Rear",10,,291,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,94,9,,,1700,1700,49,45,48,37,31.6,34.57,49.485,45.138,47.5288,22,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,50,,,,,SIDI; PHEV; ,2,2,4,Compact Cars,car,Plug-in Hybrid Label,6/16/2023,33142,,Y,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,354,34,101.3,On-Board,,,Electrical Regen Brake,,Both,N,,,,permanent magnet synchronous machine (PMSM),1,Other,(PMSM),80,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W20,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-5C,Charge Sustaining 5-cycle,,,39.3,,,7,8,,RBMXJ02.0H30,7,,,,,,,,,,,,,,,1250,,330,276,306,158,3,,310,35,45,39,173.3,139.3,158,20.81,21.74,21,0.478,0.504,0.49,0,0,0,10.6
