CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/18/2023,3:40,,,40.7466,-73.76503,"(40.7466, -73.76503)",LONG ISLAND EXPRESSWAY,,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4688250,Station Wagon/Sport Utility Vehicle,,,,
12/18/2023,11:10,,,40.722576,-73.94049,"(40.722576, -73.94049)",BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4688384,Sedan,Carry All,,,
11/17/2023,23:20,,,40.71664,-73.97561,"(40.71664, -73.97561)",FDR DRIVE,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4688910,PK,Sedan,,,
12/18/2023,7:26,,,40.666878,-73.94522,"(40.666878, -73.94522)",BROOKLYN AVENUE,,,2,0,0,0,0,0,2,0,Unsafe Speed,Traffic Control Disregarded,,,,4688735,Sedan,School bus,,,
12/15/2023,23:41,MANHATTAN,10036,40.764904,-73.998146,"(40.764904, -73.998146)",12 AVENUE,WEST 47 STREET,,2,0,0,0,0,0,2,0,Unspecified,,,,,4688786,Taxi,PK,,,
12/18/2023,14:30,MANHATTAN,10011,40.735638,-73.99488,"(40.735638, -73.99488)",,,13        WEST 13 STREET,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4688393,Sedan,,,,
12/18/2023,8:17,BRONX,10472,40.82581,-73.88015,"(40.82581, -73.88015)",,,1484      WATSON AVENUE,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4688251,Sedan,Sedan,,,
12/18/2023,8:37,BRONX,10457,40.846657,-73.89619,"(40.846657, -73.89619)",3 AVENUE,EAST TREMONT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4688217,Van,,,,
12/17/2023,23:55,,,40.789032,-73.78797,"(40.789032, -73.78797)",CROSS ISLAND PARKWAY,,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4688696,Station Wagon/Sport Utility Vehicle,,,,
12/18/2023,4:56,,,40.728436,-74.00279,"(40.728436, -74.00279)",BEDFORD STREET,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4688165,Station Wagon/Sport Utility Vehicle,,,,
