"ATM",".model","DATE","Cash",".mean"
"ATM1","auto_step",2010-05-01,t(N(4.5, 0.35)),102.917274662318
"ATM1","auto_step",2010-05-02,t(N(4.6, 0.35)),117.618573305494
"ATM1","auto_step",2010-05-03,t(N(4.3, 0.35)),86.2218414836352
"ATM1","auto_step",2010-05-04,t(N(1.4, 0.35)),4.81332326952578
"ATM1","auto_step",2010-05-05,t(N(4.6, 0.35)),117.536388020764
"ATM1","auto_step",2010-05-06,t(N(4.4, 0.35)),93.0113266373545
"ATM1","auto_step",2010-05-07,t(N(4.5, 0.35)),100.926865351783
"ATM1","auto_step",2010-05-08,t(N(4.5, 0.39)),104.672037960294
"ATM1","auto_step",2010-05-09,t(N(4.6, 0.39)),119.623997140056
"ATM1","auto_step",2010-05-10,t(N(4.3, 0.39)),87.6919437907036
"ATM1","auto_step",2010-05-11,t(N(1.4, 0.39)),4.89539154272676
"ATM1","auto_step",2010-05-12,t(N(4.6, 0.39)),119.54041057724
"ATM1","auto_step",2010-05-13,t(N(4.4, 0.39)),94.597191234084
"ATM1","auto_step",2010-05-14,t(N(4.5, 0.39)),102.647691711388
"ATM1","auto_step",2010-05-15,t(N(4.5, 0.43)),106.426801258269
"ATM1","auto_step",2010-05-16,t(N(4.6, 0.43)),121.629420974618
"ATM1","auto_step",2010-05-17,t(N(4.3, 0.43)),89.1620460977719
"ATM1","auto_step",2010-05-18,t(N(1.4, 0.43)),4.97745981592774
"ATM1","auto_step",2010-05-19,t(N(4.6, 0.43)),121.544433133716
"ATM1","auto_step",2010-05-20,t(N(4.4, 0.43)),96.1830558308135
"ATM1","auto_step",2010-05-21,t(N(4.5, 0.43)),104.368518070993
"ATM1","auto_step",2010-05-22,t(N(4.5, 0.47)),108.181564556245
"ATM1","auto_step",2010-05-23,t(N(4.6, 0.47)),123.63484480918
"ATM1","auto_step",2010-05-24,t(N(4.3, 0.47)),90.6321484048403
"ATM1","auto_step",2010-05-25,t(N(1.4, 0.47)),5.05952808912873
"ATM1","auto_step",2010-05-26,t(N(4.6, 0.47)),123.548455690191
"ATM1","auto_step",2010-05-27,t(N(4.4, 0.47)),97.768920427543
"ATM1","auto_step",2010-05-28,t(N(4.5, 0.47)),106.089344430598
"ATM1","auto_step",2010-05-29,t(N(4.5, 0.51)),109.93632785422
"ATM1","auto_step",2010-05-30,t(N(4.6, 0.51)),125.640268643742
