"ATM",".model","DATE","Cash",".mean"
"ATM2","auto_step",2010-05-01,N(66, 601),66.4427015560163
"ATM2","auto_step",2010-05-02,N(73, 603),72.6785078542739
"ATM2","auto_step",2010-05-03,N(14, 613),13.6876691316106
"ATM2","auto_step",2010-05-04,N(5.3, 613),5.33314018105354
"ATM2","auto_step",2010-05-05,N(98, 620),97.6083013462935
"ATM2","auto_step",2010-05-06,N(88, 623),88.2657716032141
"ATM2","auto_step",2010-05-07,N(65, 626),65.0130349082865
"ATM2","auto_step",2010-05-08,N(66, 693),66.4507276003043
"ATM2","auto_step",2010-05-09,N(73, 694),72.6895402977343
"ATM2","auto_step",2010-05-10,N(14, 704),13.6755854683767
"ATM2","auto_step",2010-05-11,N(5.3, 704),5.3283044795362
"ATM2","auto_step",2010-05-12,N(98, 711),97.6214062693752
"ATM2","auto_step",2010-05-13,N(88, 713),88.2645171012899
"ATM2","auto_step",2010-05-14,N(65, 716),65.0016306160908
"ATM2","auto_step",2010-05-15,N(66, 782),66.4567990442056
"ATM2","auto_step",2010-05-16,N(73, 783),72.6973128821666
"ATM2","auto_step",2010-05-17,N(14, 792),13.6666922071948
"ATM2","auto_step",2010-05-18,N(5.3, 793),5.32506185818444
"ATM2","auto_step",2010-05-19,N(98, 799),97.6309144639908
"ATM2","auto_step",2010-05-20,N(88, 801),88.2633645202176
"ATM2","auto_step",2010-05-21,N(65, 804),64.9934610392494
"ATM2","auto_step",2010-05-22,N(66, 870),66.4613798421657
"ATM2","auto_step",2010-05-23,N(73, 871),72.7027808347524
"ATM2","auto_step",2010-05-24,N(14, 880),13.6601536519132
"ATM2","auto_step",2010-05-25,N(5.3, 880),5.32290264588463
"ATM2","auto_step",2010-05-26,N(98, 886),97.6378079769299
"ATM2","auto_step",2010-05-27,N(88, 888),88.2623541261156
"ATM2","auto_step",2010-05-28,N(65, 891),64.9876135506963
"ATM2","auto_step",2010-05-29,N(66, 956),66.4648276382251
"ATM2","auto_step",2010-05-30,N(73, 957),72.706621561134
