.model,DATE,Total_KWH,.mean
auto,2014 Jan,"t(N(43, 1.3))",9192398.875
auto,2014 Feb,"t(N(42, 1.3))",7649046.417
auto,2014 Mar,"t(N(41, 1.3))",6811945.371
auto,2014 Apr,"t(N(41, 1.3))",6422199.364
auto,2014 May,"t(N(41, 1.3))",6445970.19
auto,2014 Jun,"t(N(42, 1.3))",7709113.204
auto,2014 Jul,"t(N(42, 1.3))",8127883.637
auto,2014 Aug,"t(N(42, 1.3))",8513741.433
auto,2014 Sep,"t(N(42, 1.3))",7610051.16
auto,2014 Oct,"t(N(41, 1.3))",6319412.209
auto,2014 Nov,"t(N(41, 1.3))",6375536.382
auto,2014 Dec,"t(N(42, 1.3))",7711422.444
